Kernsanierte Wohnung nähe Bahnhof und Zentrum;130 CHF pro Nacht
Einzigartige Lage mit Blick über die ganze Stadt;145 CHF pro Nacht, ursprünglich 161 CHF
2-Zimmer-Wohnung in der Nähe von HSG;87 CHF pro Nacht, ursprünglich 101 CHF
2 Zimmer mit Balkon,  Netflix und Mietfahrräder;98 CHF pro Nacht
1.New Apartment  2 Min vom Bahnhof;139 CHF pro Nacht, ursprünglich 158 CHF
Schöne, helle,  grosse Wohnung mit Balkon *SmartTV;122 CHF pro Nacht, ursprünglich 133 CHF
Modernes,  hochwertiges Studio;61 CHF pro Nacht, ursprünglich 73 CHF
Schönes Studio in St. Gallen;68 CHF pro Nacht, ursprünglich 74 CHF
Umweltfreundl. Rooftop Apart. St. Gallen Zentrum;241 CHF pro Nacht, ursprünglich 263 CHF
Eigene 2.5 Zimmer WHG mit Balkon,  Mama Home W33;103 CHF pro Nacht, ursprünglich 112 CHF
Schöne 2 1/2 Zimmer Dachwohnung;98 CHF pro Nacht, ursprünglich 106 CHF
Helle Wohnung über St.Gallen;102 CHF pro Nacht, ursprünglich 112 CHF
einfaches Flat;87 CHF pro Nacht, ursprünglich 104 CHF
kleines ruhiges Dach-Zimmer;41 CHF pro Nacht, ursprünglich 45 CHF
Gemütlich & Gross*Neu renovierte Wohnung*SmartTV;127 CHF pro Nacht, ursprünglich 139 CHF
Studio Trailalps: Nähe St. Gallen;66 CHF pro Nacht, ursprünglich 80 CHF
Felix' Global Citizen „An original Airbnb“;71 CHF pro Nacht, ursprünglich 78 CHF
Fühlen sie sich wie zu Hause;43 CHF pro Nacht, ursprünglich 47 CHF
Exklusive Mini-Villa mit viel Platz;190 CHF pro Nacht, ursprünglich 217 CHF
Atelier/Loft im Grünen Individuelles Altes Haus;126 CHF pro Nacht
Wohnung in Appenzeller Bauernhaus am Südhang.;69 CHF pro Nacht
gemütliche Dachwohnung;97 CHF pro Nacht, ursprünglich 106 CHF
Zimmer III/III direkt am Bahnhof St.Gallen;81 CHF pro Nacht, ursprünglich 88 CHF
gemütliches Dach-Zimmer;41 CHF pro Nacht, ursprünglich 45 CHF
Easy Room;45 CHF pro Nacht
2.5 Zimmer Dachwohnung mit Gartensitzplatz;121 CHF pro Nacht
TouchBed | Wohnung;162 CHF pro Nacht
TouchBed | Großes 3-BR-Apartment Erdgeschoss;277 CHF pro Nacht
Großes 1 Bett Wohnung. Super zentral;76 CHF pro Nacht, ursprünglich 82 CHF
