Preis,Name
62,Zimmer mit traumhaftem Ausblick
106,"Attika 2,5 Zimmer möbliert Nähe HSG Universität"
89,Schmuckes Reiheneinfamilienhaus
70,Zu Gast im Hecht Rehetobel
46,Großes Privatzimmer in St.Gallen (in der Nähe der Seen)
91,"Modernes, hochwertiges Studio"
95,Yoli's Ferienwohnung
43,St. Gallen ist schön
98,Schöne 2 1/2 Zimmer Dachwohnung
126,Freundliche Altbauwohnung
105,"Eigene 2.5 Zimmer Wohnung 60 m2, St. Gallen"
102,Helle Wohnung über St.Gallen
77,Tas24 Travel and Sleep
87,2-Zimmer-Wohnung in der Nähe von HSG
224,"Top Luxusappartement mit Terrasse und Garten, Grat"
103,"Eigene 2.5 Zimmer WHG mit Balkon, Mama Home W33"
58,Alpen-Oase | Netflix | Natur
76,Großes 1 Bett Wohnung. Super zentral
125,"Stilvolle 2,5 Zimmer Wohnung"
75,1 Zimmerwohnung ohne Küche mitten im Zentrum
36,1 Zimmer in einer gemütlichen Wohnung
61,"Modernes, hochwertiges Studio"
