RESTAURANT_ID;NAME;ADRESS;REVIEW_COUNT_TRIP;REVIEW_COUNT_GOOGLE;PRICE_RANGE_TRIP;CITY;PLZ;KREIS;AVERAGE_REVIEW_TRIP;AVERAGE_REVIEW_GOOGLE;WEIGHTED AVERAGE REVIEW;DATA_SOURCE;alt_Google_clean.Restaurantname;alt_Beide Quellen?;alt_Trip_Küche;alt_Google_clean.Ort;alt_Google_clean.PLZ;alt_Google_clean.Strasse;alt_Google_KÜCHE;alt_Merged_Küche;alt_Google_clean.Preis;SUM REVIEW COUNT;PRICE_NUMERIC;WEIGHTED RATING;Lage
32;Astra Kitchen & Bar;Löwenstrasse 25;29;375;€€ - €€€;Zürich;8001;Kreis 1;3.5;4.4;4.33539604;both;ASTRA Kitchen & Bar;Yes;Europäisch, Mediterran, Griechisch;Zürich;8001;Löwenstrasse 25;Restaurant;Europäisch, Mediterran, Griechisch, Restaurant;Price information not available;404;3;4.331132075;Zentrum
33;Aubrey;Schiffbaustrasse 10;91;442;€€ - €€€;Zürich;8005;Kreis 5;4;4.2;4.165853659;both;Aubrey;Yes;Europäisch, Mitteleuropäisch, Bar;Zürich;8005;Schiffbaustrasse 10;Hamburger;Europäisch, Mitteleuropäisch, Bar, Hamburger;Mäßig teuer;533;3;4.168716094;Zentrum
34;Ayverdis Affoltern;Wehntalerstrasse 289;90;1469;€;Zürich;8046;Kreis 11;4;4.3;4.282681206;both;Ayverdi's Affoltern;Yes;Mediterran, Orientalisch;Zürich;8046;Wehntalerstrasse 289;Türkisch;Mediterran, Orientalisch, Türkisch;Price information not available;1559;1;4.282203927;Zentrum
35;Ayverdis Oerlikon;Genossenschaftsstrasse 18;92;3305;€€ - €€€;Zürich;8050;Kreis 11;3.5;4.4;4.375625552;both;Ayverdi's Oerlikon;Yes;Fast Food, Orientalisch, Türkisch;Zürich;8050;Genossenschaftsstrasse 18;Türkisch;Fast Food, Orientalisch, Türkisch, Türkisch;Price information not available;3397;3;4.374860989;Zentrum
36;Ayverdis Wiedikon;Badenerstrasse 415;52;2399;€€€€;Zürich;8003;Kreis 3;3.5;4.4;4.380905753;both;Ayverdi's Wiedikon;Yes;Fast Food, Orientalisch, Türkisch;Zürich;8003;Badenerstrasse 415;Türkisch;Fast Food, Orientalisch, Türkisch, Türkisch;k. A.;2451;4;4.379805747;Zentrum
37;Pizzeria Azzurro;Hohlstrasse 451;1355;1284;€€ - €€€;Zürich;8048;Kreis 9;4.5;4.3;4.402690413;both;Azzurro;Yes;Italienisch, Mediterran, Pizza;Zürich;8048;Hohlstrasse 451;Italienisch;Italienisch, Mediterran, Pizza, Italienisch;Mäßig teuer;2639;3;4.401504325;Zentrum
38;Babel Restaurant;The Circle 41;55;309;€€€€;Zürich;8058;Kreis 11;4;4.3;4.25467033;both;Babel Restaurant;Yes;Mediterran, Orientalisch, Libanesisch;Zürich;8058;The Circle 41;Libanesisch;Mediterran, Orientalisch, Libanesisch, Libanesisch;k. A.;364;4;4.254166667;Zentrum
39;Babis Bagel Shop;Bederstrasse 102;20;219;€€ - €€€;Zürich;8002;Kreis 2;4.5;4.4;4.408368201;both;Babi's Bagel Shop;Yes;Fast Food, Amerikanisch;Zürich;8002;Bederstrasse 102;Café;Fast Food, Amerikanisch, Café;Price information not available;239;3;4.395752896;Zentrum
40;Restaurant Bahnhof Wiedikon;Seebahnstrasse 33;170;552;€;Zürich;8003;Kreis 3;4.5;4.3;4.347091413;both;Bahnhof Wiedikon;Yes;Europäisch, Schweizerisch, Mitteleuropäisch;Zürich;8003;Seebahnstrasse 33;Schweizerisch;Europäisch, Schweizerisch, Mitteleuropäisch, Schweizerisch;k. A.;722;1;4.344339623;Zentrum
41;Ban Song Thai;Kirchgasse 6;440;649;€€ - €€€;Zürich;8001;Kreis 1;4.5;4.4;4.44040404;both;Ban Song Thai Restaurant;Yes;Asiatisch, Thailändisch;Zürich;8001;Kirchgasse 6;Thailändisch;Asiatisch, Thailändisch, Thailändisch;Mäßig teuer;1089;3;4.436880072;Zentrum
