Name,Country,Year,Price,Rating,Rating Counter,Tastes
"Châteauneuf-du-Pape AOP BLANC Tradition, Bosquet Papes 6x 75cl",Frankreich,2022,173.70,4.0,874,"['57.0795%', '11.5554%', '42.7565%']"
Château Pape Clément Blanc Pessac-Léognan AOC Cru Classé,Frankreich,2012,149.00,4.4,30075,None
Chevalier-Montrachet Grand Cru Clos des Chevaliers Monopole 3x 75cl,Frankreich,2023,1'425.00,4.5,451,"['62.4487%', '7.0449%', '53.7911%']"
Cheyres AOC Chasselas Le Coup de Soleil Association des Vignerons Broyards,Schweiz,2021,12.50,3.7,35,"['30%', '0px', '68.8542%']"
clos du Châtelard Grand Cru Villeneuve AOC,Schweiz,2018,20.95,4.0,223,None
clos du Châtelard Grand Cru Villeneuve AOC,Schweiz,2020,20.95,4.0,223,None
Colline Pescaresi IGP Pecorino Trabocchetto Tenuta Talamonti,Italien,2022,15.50,3.9,2381,"['42.4973%', '20.5381%', '64.9223%']"
Coop Fine Food Valais AOC Petite Arvine Coeur de Baron,Schweiz,2023,24.95,3.9,358,"['63.0217%', '19.6957%', '80.5%']"
Corbières Barons de Rothschild Chardonnay A d'Aussières Blanc,Frankreich,2022,15.50,3.9,101,None
Corton-Charlemagne Grand Cru 6x 75cl,Frankreich,2023,690.00,4.4,10948,"['61.6249%', '8.24407%', '50.7759%']"
Corton-Charlemagne Grand Cru Domaine Gaston et Pierre Ravaut 6x 75cl,Frankreich,2023,569.70,4.4,170,"['63.756%', '11.0053%', '44.1536%']"
Costers del Segre Auzells Tomàs Cusiné,Spanien,2020,14.50,3.7,2535,None
Domaine de Chevalier blanc Pessac-Léognan AC Cru Classé,Frankreich,2018,105.00,4.2,3297,None
Domaine de Chevalier blanc Pessac-Léognan AC Cru Classé,Frankreich,2019,94.95,4.2,3297,None
Domaine de Chevalier blanc Pessac-Léognan AC Cru Classé,Frankreich,2020,94.95,4.2,3297,None
Douro DOC Guru Wine & Soul,Portugal,2018,39.00,4.2,4752,None
