Name,Country,Year,Price,Rating,Rating Counter,Tastes
Lavaux AOC St-Saphorin La Donjannaz Les Terrasses de Lavaux 6x 70cl,Schweiz,2023,59.70,4.2,1010,"['44.0219%', '31.4086%', '8.94926%', '68.2885%']"
Burgenland Qualitätswein Cuvée Reserve Big John Scheiblhofer,Österreich,2021,13.95,4.1,14719,None
Cabernet Sauvignon Chile Gran Reserva Cromas Los Vascos,Chile,2019,8.75,3.8,1833,"['73.191%', '45.6846%', '4.97648%', '42.1687%']"
Red Blend Clancy's Peter Lehmann,Australien,2021,8.75,3.6,7376,"['77.694%', '47.7018%', '20.1441%', '41.2907%']"
Ribera del Duero DO Tempranillo Roble Nebla Vicente Gandia,Spanien,2022,5.20,3.1,182,"['67.5%', '62.2235%', '0px', '67.9546%']"
Lavaux AOC Epesses Braise d'Enfer Les Frères Dubois,Schweiz,2022,14.95,3.8,789,"['33.0999%', '9.23823%', '59.8851%']"
Valais AOC Pinot Noir Saint-Léonard Domaines des Virets,Schweiz,2022,9.95,3.3,1928,"['0px', '18.2772%', '4.72028%', '66.9655%']"
Pauillac AOP Clos Châtelet,Frankreich,2019,14.95,3.9,188,"['67.564%', '77.3779%', '0px', '80%']"
Rosé Bordeaux AOC Les Terres d'Aquitaine,Frankreich,2022,4.85,3.2,364,"['43.25%', '4.59616%', '79.0769%']"
Ribera del Duero DO Conde de San Cristóbal,Spanien,2020,16.45,3.9,14260,"['63.9522%', '50.9235%', '12.3634%', '54.4953%']"
Château Grand Ormeau Lalande de Pomerol AOC,Frankreich,2020,20.95,4.0,3625,"['69.1535%', '50.6538%', '4.63392%', '47.1446%']"
Champagne AOC Canard-Duchêne Incontournable Réserve Brut,Frankreich,,25.95,3.8,674,"['59.4794%', '73.0802%', '71.9179%']"
Rueda DO Verdejo Legaris,Spanien,2022,7.95,3.5,5291,"['22.0967%', '20.9676%', '52.3114%']"
Ticino DOC Merlot Riserva Roncaia Vinattieri Ticino,Schweiz,2021,19.95,4.1,970,None
Naturaplan Bio Rueda DO Sauvignon Blanc Marqués de Riscal,Spanien,2022,9.95,3.8,10528,"['40.9475%', '0.896155%', '67.2585%']"
Pinotage SA Kadette Kanonkop,Südafrika,2021,9.95,3.9,16606,None
Chardonnay Colchagua Valley Viña Sutil 6x 75cl,Chile,2023,23.70,3.8,1995,"['54.6031%', '29.487%', '18.5731%']"
"Cava DO Cordon Negro Freixenet, seco",Spanien,,9.75,3.5,208,"['44.7029%', '58.1884%', '67.7754%']"
Naturaplan Bio Rioja DOCa Reserva Señorio de Arriezu,Spanien,2015,11.95,3.6,898,"['64.7394%', '60.096%', '10.7911%', '60.8018%']"
Valais AOC Petite Arvine Maître de Chais,Schweiz,2022,19.95,3.8,1298,"['63.1697%', '15.6832%', '78.4094%']"
La Gioiosa Spritzzoso,Italien,,5.95,3.7,15680,"['18.9972%', '59.7643%', '60.7624%']"
Valais AOC Heida Fleur du Rhône,Schweiz,2023,10.95,3.9,1979,"['45.0269%', '20.8632%', '73.0546%']"
Savigny-les-Beaune AOC Albert Bichot,Frankreich,2020,20.60,3.8,1467,"['29.7332%', '22.5397%', '1.46166%', '67.0109%']"
Fine Food Ribera del Duero DO Reserva Pago de los Capellanes,Spanien,2020,28.45,4.2,19717,None
Valais AOC Fendant Les Murettes Maison Gilliard,Schweiz,2023,13.45,3.7,4035,"['30.4854%', '5.56934%', '60.7768%']"
Cabernet Sauvignon California Round Hill,USA,2020,5.95,3.7,5706,"['78.8664%', '49.3331%', '16.1138%', '42.7983%']"
Schaffhausen AOC Blauburgunder Wilchinger,Schweiz,2022,6.70,3.4,190,"['9.89015%', '21.142%', '11.5379%', '73.4508%']"
Prosecco DOC Cuvée i Magredi Valdo Extra Dry,Italien,,6.95,3.6,822,None
Cabernet Sauvignon Mendoza La Mascota 6x 75cl,Argentinien,2021,53.70,3.8,26860,"['64.6496%', '53.2143%', '8.06628%', '44.8341%']"
