Name,Land,Jahr,Preis,Bewertung,Anzahl Bewertungen,In Aktion,Farbe,Leicht / Üppig,Sanft / Tanninhaltig,Trocken / Süss,Weich / Säurehaltig,Preis/Rating,Rating/Preis,Robert Parker
Alsace AOC Gewürztraminer Graffengritt Domaine Vincent Stoeffler,Frankreich,2021,14.95,3.9,171,0,W,66.3286,37.7371,24.52,,3.833333333,0.260869565,87.3
Alsace AOC Gewürztraminer Grand Cru Sonnenglanz Baron de Hoen,Frankreich,2019,18.5,3.8,654,0,W,65.5819,48.1542,20.6272,,4.868421053,0.205405405,94.6
Alsace AOC Gewürztraminer Grand Cru Sonnenglanz Baron de Hoen,Frankreich,2020,18.5,3.8,654,0,W,65.5819,48.1542,20.6272,,4.868421053,0.205405405,93.3
Alsace AOC Gewurztraminer Neuweg Domaine Gross,Frankreich,2020,24.95,4.1,482,0,W,67.5,32.238,19.741,,6.085365854,0.164328657,93.3
Alsace AOC Pinot Gris Grand Cru Rangen Wolfberger,Frankreich,2019,29.95,4.2,523,0,W,55.3225,39.9408,35.0087,,7.130952381,0.140233723,94.6
Alsace AOC Pinot Gris Salzhof Domaine Vincent Stoeffler,Frankreich,2021,19.95,3.6,42,0,W,42.5,4.39189,35.9527,,5.541666667,0.180451128,87.3
Alsace AOC Pinot Noir Résonance Aimé Stentz,Frankreich,2020,22.5,3.8,42,0,R,17.5,17.5,0,69.125,5.921052632,0.168888889,93.5
Alsace AOC Riesling Lerchenberg Jean Huttard,Frankreich,2016,19.95,3.9,69,0,W,42.5,18.7158,79.8273,,5.115384615,0.195488722,93.9
Alsace AOC Riesling Mittelbourg Domaine Robert Roth,Frankreich,2018,19.95,3.8,96,0,W,44.0038,20.2256,80.5226,,5.25,0.19047619,92.8
Alsace AOC Riesling Terre Grès Robert Roth,Frankreich,2022,16.5,3.9,119,0,W,48.3306,15.9899,79.0504,,4.230769231,0.236363636,Keine Punktzahl
Alsace AOP Gewürztraminer Baron de Hoen Beblenheim,Frankreich,2021,10.5,3.7,3605,0,W,64.7985,51.6528,22.9863,,2.837837838,0.352380952,87.3
Alsace AOP Gewürztraminer Baron de Schiele,Frankreich,2020,9.7,3.9,356,1,W,61.2974,39.0748,19.4544,,2.487179487,0.402061856,93.3
Alsace AOP Gewürztraminer Blanck,Frankreich,2022,19.95,3.9,2182,0,W,66.3858,44.8391,24.8124,,5.115384615,0.195488722,Keine Punktzahl
Alsace AOP Gewurztraminer Neuweg Domaine Gross,Frankreich,2022,24.95,4.1,482,0,W,67.5,32.238,19.741,,6.085365854,0.164328657,Keine Punktzahl
Alsace AOP Gewurztraminer Neuweg Domaine Gross,Frankreich,2019,24.95,4.1,482,0,W,67.5,32.238,19.741,,6.085365854,0.164328657,94.6
Alsace AOP Pinot Gris Baron de Hoen,Frankreich,2022,6.95,3.7,1041,1,W,43.2536,42.3891,32.097,,1.878378378,0.532374101,Keine Punktzahl
Alsace AOP Riesling Baron de Hoen,Frankreich,2023,9.95,3.7,1110,0,W,39.335,25.3658,74.1025,,2.689189189,0.371859296,Keine Punktzahl
Alsace AOP Riesling Blanck,Frankreich,2021,14.95,3.7,1855,0,W,43.3742,21.8904,78.6047,,4.040540541,0.247491639,87.3
Alsace AOP Riesling Blanck,Frankreich,2023,14.95,3.7,1855,0,W,43.3742,21.8904,78.6047,,4.040540541,0.247491639,Keine Punktzahl
Alsace AOP Sonnenglanz Grand Cru Pinot Gris,Frankreich,2018,17.95,3.8,190,0,W,50.6028,40.3457,30.2323,,4.723684211,0.211699164,92.8
Alsace Grand Cru Ollwiller AOC Riesling,Frankreich,2019,20.95,3.7,2835,0,W,39.265,37.0863,73.0893,,5.662162162,0.176610979,94.6
Alsace Grand Cru Ollwiller AOP Riesling,Frankreich,2018,20.95,3.7,2835,0,W,39.265,37.0863,73.0893,,5.662162162,0.176610979,92.8
