Name,Land,Jahr,Preis,Bewertung,Anzahl Bewertungen,In Aktion,Farbe,Leicht / Üppig,Sanft / Tanninhaltig,Trocken / Süss,Weich / Säurehaltig,Preis/Rating,Rating/Preis,Robert Parker
Château Léoville-Poyferré Saint-Julien AC 2ème Cru Classé,Frankreich,2020,101,4.3,36606,0,R,63.6309,65.3437,11.5035,72.8937,23.48837209,0.042574257,93.5
Château Léoville-Poyferré Saint-Julien AC 2ème Cru Classé,Frankreich,2017,79.95,4.3,36606,0,R,63.6309,65.3437,11.5035,72.8937,18.59302326,0.053783615,91.7
Château Limbourg Pessac-Léognan AC,Frankreich,2018,22.5,3.9,796,0,R,76.5397,71.9533,10.8855,70.0005,5.769230769,0.173333333,92.9
Château Mangot Saint-Emilion AC Grand Cru,Frankreich,2019,29.95,4.1,5893,0,R,74.7076,59.0289,8.12521,54.2133,7.304878049,0.136894825,94.9
Château Margaux AC 1er Cru Classé 2017,Frankreich,2017,525,4.2,1255,0,R,62.3239,63.2966,6.88749,71.8158,125,0.008,91.7
Château Marrin Saint-Emilion AOC Grand Cru,Frankreich,2018,19.95,4.1,22360,0,R,73.471,55.0242,7.41583,51.8486,4.865853659,0.205513784,92.9
Château Moulin de Clotte Vieilles Vignes Castillon - Côtes de Bordeaux AC,Frankreich,2016,14.95,4,107,0,R,69.1963,50.4813,0,65.1799,3.7375,0.267558528,94.1
Château Nénin Pomerol AOC,Frankreich,2016,89.95,4.1,10215,0,R,71.4679,55.1181,7.28671,55.0056,21.93902439,0.045580878,94.1
Château Palmer Margaux AC 3ème Cru Classé,Frankreich,2020,345,4.5,30981,0,R,61.0938,62.2742,9.93957,70.9444,76.66666667,0.013043478,93.5
Château Paloumey Haut-Médoc AC,Frankreich,2016,19.4,3.9,6102,1,R,72.2652,72.9669,5.54017,73.2951,4.974358974,0.201030928,94.1
Château Paloumey Haut-Médoc AC,Frankreich,2017,14.95,3.9,6102,1,R,72.2652,72.9669,5.54017,73.2951,3.833333333,0.260869565,91.7
Château Péby Faugères Grand Cru St-Emilion AOC,Frankreich,2015,139,4.3,2202,0,R,76.7917,60.4453,15.9228,53.4731,32.3255814,0.030935252,94.2
Château Péby Faugères Grand Cru St-Emilion AOC,Frankreich,2014,99,4.3,2202,0,R,76.7917,60.4453,15.9228,53.4731,23.02325581,0.043434343,91.1
Château Péby Faugères Saint-Emilion AOC Grand Cru Classé,Frankreich,2016,157,4.3,2202,0,R,76.7917,60.4453,15.9228,53.4731,36.51162791,0.027388535,94.1
Château Péby Faugères Saint-Emilion Grand Cru Classé AOC,Frankreich,2013,99,4.3,2202,0,R,76.7917,60.4453,15.9228,53.4731,23.02325581,0.043434343,86.8
Château Pey La Tour Bordeaux AOC,Frankreich,2021,6.95,3.5,11224,1,R,63.9309,55.4998,4.85544,61.9239,1.985714286,0.503597122,88.5
Château Pichon-Longueville-Baron Pauillac AOC 2e cru classé,Frankreich,2022,339,4.4,67,0,R,78.1466,64.2112,0,68.5948,77.04545455,0.012979351,Keine Punktzahl
Château Pierre 1er Saint-Emilion AC Grand Cru,Frankreich,2020,24.95,3.9,4589,0,R,74.6772,58.6154,5.60711,51.1207,6.397435897,0.156312625,93.5
Château Pierre 1er Saint-Emilion AC Grand Cru,Frankreich,2019,24.95,3.9,4589,0,R,74.6772,58.6154,5.60711,51.1207,6.397435897,0.156312625,94.9
Château Pierre 1er Saint-Emilion AC Grand Cru,Frankreich,2021,21.5,3.9,4589,0,R,74.6772,58.6154,5.60711,51.1207,5.512820513,0.181395349,88.5
Château Rol Valentin Saint-Emilion AOC Grand Cru,Frankreich,2018,32.95,4.1,3751,1,R,73.2885,52.2959,14.2549,50.5699,8.036585366,0.124430956,92.9
Château Roquetaillade La Grange Graves AC,Frankreich,2017,19.95,3.7,543,0,R,70.5546,77.4752,0,64.5675,5.391891892,0.185463659,91.7
Château Roquetaillade La Grange Graves AC,Frankreich,2016,18.95,3.7,543,0,R,70.5546,77.4752,0,64.5675,5.121621622,0.19525066,94.1
Château Roquetaillade La Grange Graves AC,Frankreich,2020,18.95,3.7,543,0,R,70.5546,77.4752,0,64.5675,5.121621622,0.19525066,93.5
Château Saint-Paul Cru Bourgeois Haut-Médoc AOC,Frankreich,2020,17.95,3.6,2621,0,R,72.383,64.8469,3.14071,69.7662,4.986111111,0.200557103,93.5
Château Saint-Paul Haut-Médoc AOC Cru Bourgeois,Frankreich,2019,17.95,3.6,2621,0,R,72.383,64.8469,3.14071,69.7662,4.986111111,0.200557103,94.9
Château Suau Cadillac - Côtes de Bordeaux,Frankreich,2018,17.5,3.4,309,0,R,63.7689,55.3774,0,61.2767,5.147058824,0.194285714,92.9
Châteauneuf du Pape AOP La Coeur de lAnge,Frankreich,2019,54,4.1,3519,0,R,84.9987,42.9064,7.65679,48.6255,13.17073171,0.075925926,94.9
Châteauneuf-du-Pape AOC Château Saint-André,Frankreich,2023,22.95,3.8,4057,0,R,80.3873,38.5045,7.8588,44.3695,6.039473684,0.165577342,Keine Punktzahl
Châteauneuf-du-Pape AOC Domaine de la Solitude,Frankreich,2021,35.95,4.2,10459,0,R,80.7302,37.2323,7.73319,43.7027,8.55952381,0.116828929,88.5
Châteauneuf-du-Pape AOC La Petite Crau Château Saint-André,Frankreich,2022,21.95,3.8,994,1,R,71.1621,38.9754,7.63533,42.1191,5.776315789,0.173120729,Keine Punktzahl
Châteauneuf-du-Pape AOC Les Granières Château La Nerthe,Frankreich,2020,39.95,4.1,3436,0,R,82.9812,37.9723,2.98541,46.4815,9.743902439,0.102628285,93.5
Châteauneuf-du-Pape AOP  Mémora,Frankreich,2021,26.95,4.3,786,1,R,85,34.8191,0,44.2786,6.26744186,0.159554731,88.5
Châteauneuf-du-Pape AOP  Mémora,Frankreich,2022,26.95,4.3,786,1,R,85,34.8191,0,44.2786,6.26744186,0.159554731,Keine Punktzahl
Châteauneuf-du-Pape AOP Château Mont-Redon,Frankreich,2019,47.95,4.2,20898,0,R,83.9551,39.4707,8.13035,44.0178,11.41666667,0.087591241,94.9
Châteauneuf-du-Pape AOP Château Saint-André,Frankreich,2022,22.95,3.8,4057,0,R,80.3873,38.5045,7.8588,44.3695,6.039473684,0.165577342,Keine Punktzahl
Châteauneuf-du-Pape AOP Cuvée Château des Fines Roches,Frankreich,2016,34.95,4.1,10585,1,R,81.6669,35.808,5.34764,40.9501,8.524390244,0.117310443,94.1
Châteauneuf-du-Pape AOP Cuvée Juline Domaine Autard,Frankreich,2020,62.5,3.9,3219,0,R,80.2185,40.9912,5.74909,46.9164,16.02564103,0.0624,93.5
Châteauneuf-du-Pape AOP Cuvée la Côte Ronde  Autard,Frankreich,2017,49.95,4.2,1496,0,R,85,37.9204,10.4979,43.6194,11.89285714,0.084084084,91.7
Châteauneuf-du-Pape AOP LAvenue Château de Vaudieu,Frankreich,2015,94.95,4.4,213,0,R,81.1957,39.3389,9.78401,38.4183,21.57954545,0.046340179,94.2
Châteauneuf-du-Pape AOP La Célestière,Frankreich,2010,59,4,1354,0,R,82.5906,41.7726,5.20434,45.1209,14.75,0.06779661,94.3
Châteauneuf-du-Pape AOP Tradition Domaine Font de Michelle,Frankreich,2017,34.95,4.1,3321,0,R,85,38.0237,8.74869,44.0644,8.524390244,0.117310443,91.7
Châteauneuf-du-Pape AOP Val de Dieu Château de Vaudieu,Frankreich,2015,74.95,4.3,1142,0,R,82.411,41.7364,8.84447,44.1128,17.43023256,0.057371581,94.2
Châteauneuf-du-Pape AOP Vieilles Vignes Domaine Cristia,Frankreich,2015,79.95,4.3,797,0,R,83.3359,39.6296,20.706,42.3198,18.59302326,0.053783615,94.2
Chénas AOC G. Duboeuf,Frankreich,2020,11.95,3.4,158,0,R,5.80863,23.4369,5.3562,72.4381,3.514705882,0.284518828,93.5
Chénas AOC G. Duboeuf,Frankreich,2022,11.95,3.4,158,0,R,5.80863,23.4369,5.3562,72.4381,3.514705882,0.284518828,Keine Punktzahl
Chenin Blanc Stellenbosch South Africa WO Cellar Selection Kleine Zalze,Südafrika,2022,12.5,3.7,381,0,W,35.118,9.89553,72.7271,,3.378378378,0.296,Keine Punktzahl
Chenin Blanc Stellenbosch South Africa WO Cellar Selection Kleine Zalze,Südafrika,2023,12.5,3.7,381,0,W,35.118,9.89553,72.7271,,3.378378378,0.296,Keine Punktzahl
Cheval des Andes Mendoza,Argentinien,2020,81.95,4.4,21331,0,R,82.0543,56.6987,11.1753,61.7452,18.625,0.053691275,Keine Punktzahl
Cheyres AOC Chasselas Le Coup de Soleil Association des Vignerons Broyards,Schweiz,2021,12.5,3.7,35,0,W,30,0,68.8542,,3.378378378,0.296,Keine Punktzahl
Cheyres AOC Pinot Noir Association des Vignerons Broyards,Schweiz,2021,14.95,3.6,166,0,R,28.8219,21.1792,0,69.7614,4.152777778,0.240802676,Keine Punktzahl
Chianti Classico DOCG Gran Selezione Badia a Passignano,Italien,2020,44.95,4.2,27871,0,R,49.9173,55.6974,8.67075,62.3311,10.70238095,0.093437152,89.8
Chianti Classico DOCG Riserva Ducale Ruffino,Italien,2020,19.95,3.9,59263,0,R,45.4545,54.768,2.65523,64.2123,5.115384615,0.195488722,89.8
Chianti Classico DOCG Riserva La Madonnina Triacca,Italien,2019,14.95,3.5,3292,0,R,45.6933,60.8658,0.791398,63.5052,4.271428571,0.234113712,93.3
Chianti Classico DOCG Riserva La Madonnina Triacca,Italien,2018,14.95,3.5,3292,0,R,45.6933,60.8658,0.791398,63.5052,4.271428571,0.234113712,90.5
Chianti Classico DOCG Riserva La Madonnina Triacca,Italien,2018,8.95,3.5,3292,0,R,45.6933,60.8658,0.791398,63.5052,2.557142857,0.391061453,90.5
Chianti Classico DOCG Riserva Marchese Antinori Tenuta Tignanello,Italien,2021,35.5,4.2,52187,0,R,48.9352,55.2076,7.07371,62.6436,8.452380952,0.118309859,Keine Punktzahl
Chianti Classico DOCG Riserva Rocca Guicciarda,Italien,2021,19.5,3.8,21095,0,R,45.2037,55.8096,5.96151,62.8577,5.131578947,0.194871795,Keine Punktzahl
Chianti Classico DOCG Riserva Sangiovese Monsenese San Leonino,Italien,2018,27.95,4,1846,0,R,42.8756,57.6844,4.945,64.9139,6.9875,0.143112701,90.5
Chianti Classico DOCG Riserva Villa Antinori,Italien,2021,22.5,4,45107,0,R,48.8189,55.743,5.98123,62.685,5.625,0.177777778,Keine Punktzahl
Chianti Classico DOCG Villa Franchi Triacca,Italien,2018,8.95,3.1,341,0,R,40.3919,59.0572,7.35593,65.1631,2.887096774,0.346368715,90.5
Chianti DOCG Borgovecchio,Italien,2022,15.95,3.3,81,0,R,42.5,67.5,0,67.9239,4.833333333,0.206896552,Keine Punktzahl
Chianti DOCG Borgovecchio,Italien,2020,15.95,3.3,81,0,R,42.5,67.5,0,67.9239,4.833333333,0.206896552,89.8
Chianti DOCG Rufina Riserva Frescobaldi Castello di Nipozzano,Italien,2020,19.95,3.8,66721,0,R,46.3218,57.192,4.37626,64.0216,5.25,0.19047619,89.8
Chianti DOCG Selezione Donatello,Italien,2020,4.95,3.1,214,0,R,38.4917,53.7104,0.07292,65.4938,1.596774194,0.626262626,89.8
Chianti DOCG Selezione Donatello,Italien,2022,4.95,3.1,214,0,R,38.4917,53.7104,0.07292,65.4938,1.596774194,0.626262626,Keine Punktzahl
Chianti DOCG Superiore Vegante Sensi,Italien,2019,16.5,3.4,1347,0,R,34.5942,51.2811,4.10929,65.1574,4.852941176,0.206060606,93.3
Chianti Riserva DOCG Orlano,Italien,2019,11.5,3.6,350,0,R,41.9116,64.7541,0,68.8729,3.194444444,0.313043478,93.3
Chivite Navarra Coleccion 125,Spanien,2017,29.95,3.9,969,0,R,67.0592,48.519,8.44886,42.067,7.679487179,0.130217028,91.5
Chivite Navarra Coleccion 125,Spanien,2015,29.95,3.9,969,0,R,67.0592,48.519,8.44886,42.067,7.679487179,0.130217028,92.8
Cigales DO Tempranillo Reserva Museum,Spanien,2019,19.9,4,870,0,R,71.1058,46.0217,23.4917,36.1008,4.975,0.201005025,93.5
Cigales Tempranillo Vinea Crianza Museum,Spanien,2020,14.9,3.7,6920,0,R,71.7677,54.1274,9.83244,35.332,4.027027027,0.248322148,93.2
Clos des Jacobins Saint-Emilion AOC,Frankreich,2016,43.95,4.1,4427,0,R,73.8129,57.6686,9.1109,52.5818,10.7195122,0.093287827,94.1
Clos des Jacobins Saint-Emilion AOC,Frankreich,2019,39.95,4.1,4427,0,R,73.8129,57.6686,9.1109,52.5818,9.743902439,0.102628285,94.9
Clos des Jacobins Saint-Emilion AOC,Frankreich,2021,27.5,4.1,4427,0,R,73.8129,57.6686,9.1109,52.5818,6.707317073,0.149090909,88.5
Clos des Jacobins Saint-Emilion AOC,Frankreich,2018,42.95,4.1,4427,0,R,73.8129,57.6686,9.1109,52.5818,10.47560976,0.095459837,92.9
Colchagua Valley Carmenère Los Vascos,Chile,2019,17.5,3.9,3766,0,R,75.3552,33.3314,5.74816,43.1171,4.487179487,0.222857143,94
Colline Pescaresi IGP Kudos Rosso Tenuta Talamonti,Italien,2017,19.95,3.8,646,0,R,64.0913,46.1815,19.1633,36.659,5.25,0.19047619,88.5
Colline Pescaresi IGP Pecorino Trabocchetto Tenuta Talamonti,Italien,2022,15.5,3.9,2381,0,W,42.4973,20.5381,64.9223,,3.974358974,0.251612903,Keine Punktzahl
Colore Bibi Graetz,Italien,2020,195,4.4,1758,0,R,51.9965,44.3783,3.78332,52.5268,44.31818182,0.022564103,89.8
Colore Bibi Graetz,Italien,2021,185,4.4,1758,0,R,51.9965,44.3783,3.78332,52.5268,42.04545455,0.023783784,Keine Punktzahl
Coop Fine Food Toscana IGT Geminus Teruzzi,Italien,2020,23.5,3.9,168,1,R,46.5599,52.0669,0,45.0176,6.025641026,0.165957447,89.8
Coop Fine Food Valais AOC Petite Arvine Coeur de Baron,Schweiz,2023,24.95,3.9,358,0,W,63.0217,19.6957,80.5,,6.397435897,0.156312625,Keine Punktzahl
Cornas AOP Vieilles Vignes Alain Voge,Frankreich,2019,59.5,4.2,2933,0,R,84.027,50.2374,10.3654,55.3322,14.16666667,0.070588235,94.9
Corvo Rosso Sicilia IGP,Italien,2018,8.95,3.6,74,0,R,85,41.8963,15.9548,26.4149,2.486111111,0.402234637,90.5
Costa Toscana IGT Kepos di Ampeleia,Italien,2020,27.5,3.8,2481,0,R,43.7007,43.1515,7.67388,50.1668,7.236842105,0.138181818,89.8
Costers del Segre DO Ànima de Raimat,Spanien,2020,14.5,3.8,3932,0,R,41.814,9.43598,52.4543,,3.815789474,0.262068966,93.2
Costers del Segre DO Ànima de Raimat,Spanien,2019,14.5,3.8,3932,0,R,41.814,9.43598,52.4543,,3.815789474,0.262068966,93.5
Costers del Segre DO Tempranillo Pirinenca Raimat,Spanien,2021,15.95,3.4,9786,0,R,57.3713,39.493,14.8183,42.1224,4.691176471,0.213166144,94
Côte Rôtie AOP Lieux-Dits Le Plomb Les Vins de Vienne,Frankreich,2018,69,4.2,183,0,R,80.933,66.3827,0,62.0992,16.42857143,0.060869565,92.9
Côte Rôtie AOP Rose Pourpre Gaillard,Frankreich,2018,82.5,4.3,918,0,R,69.9661,66.1144,7.11668,65.0173,19.18604651,0.052121212,92.9
Côte-Rôtie AOC Brune et Blonde,Frankreich,2020,59.95,4,1923,1,R,71.098,69.9155,8.40067,63.5554,14.9875,0.066722269,93.5
Coteaux Languedoc AOC clos des Nines,Frankreich,2022,11.95,3.7,49,1,R,64.1059,51.1618,24.5853,53.5559,3.22972973,0.309623431,Keine Punktzahl
Côtes du Rhône AOC Crozes-Hermitage Maison Les Alexandrins,Frankreich,2021,21.95,3.6,614,0,R,63.6443,51.7826,3.57971,57.1612,6.097222222,0.164009112,88.5
Côtes du Rhône AOC Réserve Famille Perrin,Frankreich,2021,12.95,3.7,39569,0,R,62.4684,46.9349,3.03699,53.9048,3.5,0.285714286,88.5
Côtes du Rhône AOC Sans Sulfites Ajoutés Mathilde Chapoutier,Frankreich,2021,11.95,3.8,145,0,R,64.9179,43.6793,0,54.8005,3.144736842,0.317991632,88.5
Côtes du Rhône AOP Châteauneuf-du-Pape Amiral G. Château de Vaudieu,Frankreich,2015,95,4.5,615,0,R,80.3435,48.0164,14.2775,43.7412,21.11111111,0.047368421,94.2
Côtes du Rhône AOP Syrah Crozes-Hermitage Les Palais Clairmont,Frankreich,2021,16.95,3.7,743,0,R,60.5384,42.5261,8.64052,41.7533,4.581081081,0.218289086,88.5
Côtes du Rhône AOP Syrah Crozes-Hermitage Les Palais Clairmont,Frankreich,2022,16.95,3.7,743,0,R,60.5384,42.5261,8.64052,41.7533,4.581081081,0.218289086,Keine Punktzahl
Côtes du Rhône Luberon Chapoutier,Frankreich,2022,8.95,3.7,32905,0,R,62.8862,47.9837,4.93597,54.0802,2.418918919,0.413407821,Keine Punktzahl
Côtes du Rhône Séguret AOP Edition Peter Keller Domaine La Garancière Clos Joncuas,Frankreich,2015,23.95,3.8,95,0,R,70.4709,49.6744,0,59.1948,6.302631579,0.158663883,94.2
Côtes du Ventoux AOC Terres de Truffes,Frankreich,2021,7.5,3.7,2975,1,R,65.1899,47.2523,14.6774,52.5092,2.027027027,0.493333333,88.5
Côtes-du-Rhône AOC E. Guigal,Frankreich,2020,13.95,3.7,83348,0,R,65.0311,47.9629,6.09714,53.0201,3.77027027,0.265232975,93.5
Côtes-du-Rhône AOC La Renjardière,Frankreich,2022,6.95,3.6,1096,0,R,65.4879,46.7079,0,55.014,1.930555556,0.517985612,Keine Punktzahl
Côtes-du-Rhône AOP Château Saint-André,Frankreich,2021,8.95,3.5,402,0,R,64.5276,48.0256,0,51.622,2.557142857,0.391061453,88.5
Côtes-du-Rhône AOP Château Saint-André,Frankreich,2022,8.95,3.5,402,0,R,64.5276,48.0256,0,51.622,2.557142857,0.391061453,Keine Punktzahl
Cottinelli Malanser Pinot Noir AOC,Schweiz,2021,19.95,3.5,200,0,R,2.35484,20.3764,1.63307,72.1331,5.7,0.175438596,Keine Punktzahl
Crljenak Dalmacija Zlatan Otok,Kroatien,2016,27.5,4.2,1495,0,R,66.8106,48.3621,15.9886,44.0038,6.547619048,0.152727273,Keine Punktzahl
Crozes-Hermitage AOC E.Guigal,Frankreich,2020,24.95,3.8,20917,0,R,64.8325,49.2003,4.89565,45.7887,6.565789474,0.152304609,93.5
Crozes-Hermitage AOP Les Moniers M. Chapoutier,Frankreich,2021,19.95,3.6,1463,0,R,64.442,50.7741,4.58333,48.7334,5.541666667,0.180451128,88.5
Dão DOC Baga Conciso Tinto Jean Niepoort Vinhos,Portugal,2016,19.8,3.8,1350,0,R,53.3826,56.0477,4.92522,60.9448,5.210526316,0.191919192,92.5
Dao DOC Moreira Olazabal e Borges,Portugal,2015,15,3.6,5355,0,R,44.6119,49.6924,13.8826,51.4919,4.166666667,0.24,91.5
Dão DOC Taboadella Touriga Nacional Reserva,Portugal,2020,23.5,4.1,829,0,R,63.7132,50.2078,2.95101,54.5199,5.731707317,0.174468085,89
Dão DOC Tinto Reserva Quinta Cabriz,Portugal,2018,16.8,3.7,1828,0,R,72.6714,55.7489,4.6335,52.0445,4.540540541,0.220238095,89.5
Dehesa del Carrizal DO MV,Spanien,2018,15,3.8,2449,0,R,62.1203,45.4805,18.5725,46.6977,3.947368421,0.253333333,94.5
Dehesa del Carrizal DO Vino de Pago Cabernet Sauvignon,Spanien,2019,23,4,2609,0,R,82.0332,59.0355,8.95428,52.8742,5.75,0.173913043,93.5
Dehesa del Carrizal DO Vino de Pago Cabernet Sauvignon,Spanien,2014,23,4,2609,0,R,82.0332,59.0355,8.95428,52.8742,5.75,0.173913043,91.8
DellArca Antonini Primitivo Salento IGT,Italien,2022,2.95,3.3,2804,0,R,60.6744,30.3571,36.4683,26.7461,0.893939394,1.118644068,Keine Punktzahl
DellArca Antonini Primitivo Salento IGT,Italien,2022,4.95,3.3,2804,0,R,60.6744,30.3571,36.4683,26.7461,1.5,0.666666667,Keine Punktzahl
Della Robbia Brunello di Montalcino DOCG,Italien,2016,12.95,3.6,3075,0,R,45.002,59.9685,17.8452,61.5488,3.597222222,0.277992278,95.4
Dézaley AOC Grand Cru B. Bovy,Schweiz,2022,23.5,3.6,210,0,W,29.133,0,60.0931,,6.527777778,0.153191489,Keine Punktzahl
Dézaley Grand Cru AOC La Marettaz J. & M. Dizerens,Schweiz,2022,21.95,3.7,366,0,W,31.4406,2.28438,63.9006,,5.932432432,0.16856492,Keine Punktzahl
DI CO Cabernet Sauvignon Napa Valley,USA,2017,84.95,4.1,224,0,R,85,63.6222,0,56.9092,20.7195122,0.048263685,90.1
Dolcetto dAlba DOC Piazzo,Italien,2021,8.95,3.2,316,0,R,49.5332,42.2861,14.0605,30.2656,2.796875,0.357541899,Keine Punktzahl
Don Mendo Reserva Cariñena DO,Spanien,2018,9.95,3.7,6565,0,R,64.4852,38.5327,7.43857,41.7223,2.689189189,0.371859296,94.5
Douro Casa Ferreirinha Papa Figos,Portugal,2022,10.5,3.9,83693,0,R,74.162,52.5022,13.556,42.2915,2.692307692,0.371428571,Keine Punktzahl
Douro Comboio do Vesuvio Symington,Portugal,2019,14.95,4,1247,0,R,62.7542,47.8417,26.7599,41.0082,3.7375,0.267558528,92
Douro DOC Altano Symington Family Estates,Portugal,2021,9.95,4.3,3177,0,R,75.8221,56.5613,27.8981,42.7416,2.313953488,0.432160804,Keine Punktzahl
Douro DOC Batuta Niepoort,Portugal,2016,72.5,4.3,7169,0,R,73.2994,57.2044,9.94915,47.3084,16.86046512,0.059310345,92.5
Douro DOC Cooperation Wine Niepoort,Portugal,2016,23.5,3.5,128,0,R,69.25,55.4278,3.1,41.7037,6.714285714,0.14893617,92.5
Douro DOC Fabelhaft Branco Niepoort,Portugal,2022,10.95,3.4,1332,1,W,36.7711,1.31575,64.1465,,3.220588235,0.310502283,Keine Punktzahl
Douro DOC Fabelhaft Branco Niepoort,Portugal,2021,10.95,3.4,1332,1,W,36.7711,1.31575,64.1465,,3.220588235,0.310502283,Keine Punktzahl
Douro DOC Fabelhaft Niepoort,Portugal,2021,10.8,3.7,18853,1,R,79.2556,53.4931,9.54613,44.9907,2.918918919,0.342592593,Keine Punktzahl
Douro DOC Fabelhaft Niepoort,Portugal,2021,8.95,3.7,18853,1,R,79.2556,53.4931,9.54613,44.9907,2.418918919,0.413407821,Keine Punktzahl
Douro DOC Fabelhaft Reserva Niepoort,Portugal,2018,19.95,3.8,494,0,R,82.2242,64.1327,6.46928,51.5866,5.25,0.19047619,89.5
Douro DOC Fabelhaft Reserva Niepoort,Portugal,2020,19.95,3.8,494,0,R,82.2242,64.1327,6.46928,51.5866,5.25,0.19047619,89
Douro DOC Mirabilis Branco Gran Reserva,Portugal,2021,58,3.8,39178,0,W,39.2134,1.01821,63.7092,,15.26315789,0.065517241,Keine Punktzahl
Douro DOC Mirabilis Quinta Nova de Nossa Senhora do Carmo Grande Reserva,Portugal,2019,149.9,4.4,1625,0,R,83.5166,60.6975,13.5199,45.5392,34.06818182,0.029352902,92
Douro DOC Quatro Ventos,Portugal,2021,6.95,3.8,11491,0,R,75.3702,54.4339,13.2694,42.4756,1.828947368,0.54676259,Keine Punktzahl
Douro DOC Quinta de Valbom Tinto,Portugal,2015,23.5,4.1,1782,0,R,75.2059,57.0188,8.73889,44.4263,5.731707317,0.174468085,91.5
Douro DOC Quinta de Valbom Vinhas Velhas,Portugal,2016,42.6,4.2,40,0,R,52.7359,42.0846,24.6026,46.3308,10.14285714,0.098591549,92.5
Douro DOC Quinta Nova Vinha Centenaria Ref P28/P21,Portugal,2018,110,4.5,253,0,R,85,57.3695,4.30428,40.108,24.44444444,0.040909091,89.5
Douro DOC Reserva Quinta dos Quatro Ventos,Portugal,2019,16.95,4.2,1265,0,R,81.3629,52.4971,14.2174,45.1828,4.035714286,0.247787611,92
Douro DOC Vertente Niepoort,Portugal,2017,22.5,3.9,9293,0,R,71.0004,51.1347,12.2193,44.9659,5.769230769,0.173333333,96
Douro DOC Vertente Niepoort,Portugal,2019,22.5,3.9,9293,0,R,71.0004,51.1347,12.2193,44.9659,5.769230769,0.173333333,92
Douro Niepoort Vinhos Redoma Branco Reserva,Portugal,2021,36,4.3,4032,0,W,47.158,6.78523,65.1941,,8.372093023,0.119444444,Keine Punktzahl
Echezeaux Grand Cru,Frankreich,2015,209,4.7,6539,0,R,41.8587,31.2731,17.9282,68.7284,44.46808511,0.022488038,94.2
El Terrerazo VdP Merseguera Mustiguillo Viñedos y Bodega Finca Calvestra,Spanien,2020,27,4.1,6603,0,W,64.8311,44.3576,13.3664,48.0247,6.585365854,0.151851852,93.2
Emilia Romagna DOC Lambrusco Concerto Medici Ermete,Italien,2022,16.4,3.8,307,0,R,42.5,42.5,80,,4.315789474,0.231707317,Keine Punktzahl
Empiria DOC Bianco di Custoza Vin & Organic BIO,Italien,2022,11.5,3.8,45,0,W,49.75,51.625,49.25,,3.026315789,0.330434783,Keine Punktzahl
Epesses AOC Les Mûriers Domaine Fonjallaz,Schweiz,2022,17.5,3.6,302,0,W,29.0127,1.64919,61.2617,,4.861111111,0.205714286,Keine Punktzahl
Epesses Rives dOr  Les Terrasses de Lavaux AOC,Schweiz,2022,14.95,3.8,135,0,W,23.3192,0.00333,61.2225,,3.934210526,0.254180602,Keine Punktzahl
Epesses Rouge Lavaux AOC  Union Vinicole Cully,Schweiz,2022,14.95,3.4,90,0,R,4.625,27,11.75,70.25,4.397058824,0.227424749,Keine Punktzahl
Epesses Rouge Lavaux AOC  Union Vinicole Cully,Schweiz,2021,14.95,3.4,90,0,R,4.625,27,11.75,70.25,4.397058824,0.227424749,Keine Punktzahl
España Memento Mori Bodegas Cvne,Spanien,2020,9.95,3.9,163,0,R,61.1035,41.1293,27.4526,37.7026,2.551282051,0.391959799,93.2
Etna Bianco DOC Carricante Sentiero delle Gerle Mandrarossa,Italien,2019,22.5,3.8,427,0,W,55.1591,11.6412,46.7371,,5.921052632,0.168888889,92.8
Etna DOC Fedegraziani Federico Graziani,Italien,2019,24,3.8,1129,0,R,74.893,45.2292,15.3862,38.5287,6.315789474,0.158333333,93.3
Etna DOC Profumo di Vulcano Federico Graziani,Italien,2016,75,4.2,636,0,R,69.4133,45.7833,23.1074,35.7381,17.85714286,0.056,95.4
Etna DOC Profumo di Vulcano Federico Graziani,Italien,2019,75,4.2,636,0,R,69.4133,45.7833,23.1074,35.7381,17.85714286,0.056,93.3
Etna DOC Rosso Lenza di Munti Nicosia,Italien,2019,16.5,3.6,1892,0,R,61.7322,43.9657,20.5873,42.1143,4.583333333,0.218181818,93.3
Etna DOC Vulkà Rosso Nicosia,Italien,2020,14.5,3.6,1956,0,R,67.8565,42.7498,18.9801,42.4221,4.027777778,0.248275862,89.8
Etna Rosso DOC Nerello Mascalese Sentiero delle Gerle Mandrarossa,Italien,2019,22.5,3.8,683,0,R,62.0613,46.7373,23.9594,38.7607,5.921052632,0.168888889,93.3
Falanghina Irpina DOC Terredora,Italien,2022,10.5,3.9,2142,0,W,62.5554,2.34821,39.3199,,2.692307692,0.371428571,Keine Punktzahl
Falerio Pecorino DOC Fazi Battaglia,Italien,2020,11.95,3.8,198,0,W,45.5015,24.1332,61,,3.144736842,0.317991632,90.5
Faugères AOC Mas Gabinèle,Frankreich,2020,24.95,3.8,2282,0,R,64.318,54.3339,17.8539,58.7273,6.565789474,0.152304609,93.5
Faugères AOC Mas Gabinèle,Frankreich,2021,24.95,3.8,2282,0,R,64.318,54.3339,17.8539,58.7273,6.565789474,0.152304609,88.5
Faugères AOC Réserve Moulin dOr,Frankreich,2019,8.95,3.2,126,0,R,67.6222,64.5,0,65.0556,2.796875,0.357541899,94.9
